,us_states,industry,2019_jobs,2020_jobs,2021_jobs
118,Alabama,Total employment (number of jobs) ,2712163.0,2671253.0,2738167.0
119,Alabama, Wage and salary employment ,2126780.0,2044151.0,2096405.0
120,Alabama, Proprietors employment ,585383.0,627102.0,641762.0
121,Alabama,  Farm proprietors employment ,34596.0,34755.0,34327.0
122,Alabama,  Nonfarm proprietors employment 2/,550787.0,592347.0,607435.0
123,Alabama, Farm employment ,40494.0,41181.0,40697.0
124,Alabama, Nonfarm employment ,2671669.0,2630072.0,2697470.0
125,Alabama,  Private nonfarm employment ,2261506.0,2223316.0,2290443.0
126,Alabama,"   Forestry, fishing, and related activities ",16316.0,15982.0,15724.0
127,Alabama,    Forestry and logging ,7131.0,6908.0,6922.0
128,Alabama,"    Fishing, hunting and trapping ",1589.0,1587.0,1606.0
129,Alabama,    Support activities for agriculture and forestry ,7596.0,7487.0,7196.0
130,Alabama,"   Mining, quarrying, and oil and gas extraction ",9172.0,8739.0,7742.0
131,Alabama,    Oil and gas extraction ,2186.0,1957.0,1855.0
132,Alabama,    Mining (except oil and gas) ,5826.0,5618.0,4808.0
133,Alabama,    Support activities for mining ,1160.0,1164.0,1079.0
134,Alabama,   Utilities ,13756.0,13509.0,13457.0
135,Alabama,   Construction ,152455.0,157497.0,162012.0
136,Alabama,    Construction of buildings ,34804.0,36664.0,37621.0
137,Alabama,    Heavy and civil engineering construction ,20646.0,19924.0,19952.0
138,Alabama,    Specialty trade contractors ,97005.0,100909.0,104439.0
139,Alabama,   Manufacturing ,279250.0,269248.0,275433.0
140,Alabama,    Durable goods manufacturing ,180958.0,174922.0,181203.0
141,Alabama,     Wood product manufacturing ,18303.0,18327.0,19600.0
142,Alabama,     Nonmetallic mineral product manufacturing ,7782.0,7517.0,7842.0
143,Alabama,     Primary metal manufacturing ,17819.0,16995.0,17147.0
144,Alabama,     Fabricated metal product manufacturing ,28195.0,27035.0,27079.0
145,Alabama,     Machinery manufacturing ,11242.0,10420.0,10318.0
146,Alabama,     Computer and electronic product manufacturing ,8946.0,8349.0,7986.0
147,Alabama,"     Electrical equipment, appliance, and component manufacturing ",5700.0,6034.0,6163.0
148,Alabama,"     Motor vehicles, bodies and trailers, and parts manufacturing ",43852.0,40545.0,45399.0
149,Alabama,     Other transportation equipment manufacturing ,20845.0,20970.0,20746.0
150,Alabama,     Furniture and related product manufacturing ,9946.0,10037.0,9892.0
151,Alabama,     Miscellaneous manufacturing ,8328.0,8693.0,9031.0
152,Alabama,    Nondurable goods manufacturing ,98292.0,94326.0,94230.0
153,Alabama,     Food manufacturing ,34481.0,33455.0,31978.0
154,Alabama,     Beverage and tobacco product manufacturing ,2576.0,2462.0,2518.0
155,Alabama,     Textile mills ,5072.0,4963.0,5309.0
156,Alabama,     Textile product mills ,4231.0,3623.0,3733.0
157,Alabama,     Apparel manufacturing ,3323.0,3271.0,3124.0
158,Alabama,     Leather and allied product manufacturing ,182.0,161.0,159.0
159,Alabama,     Paper manufacturing ,11732.0,11276.0,11164.0
160,Alabama,     Printing and related support activities ,4269.0,4310.0,4296.0
161,Alabama,     Petroleum and coal products manufacturing ,2452.0,2322.0,2247.0
162,Alabama,     Chemical manufacturing ,11625.0,11467.0,11803.0
163,Alabama,     Plastics and rubber products manufacturing ,18349.0,17016.0,17899.0
164,Alabama,   Wholesale trade ,82080.0,80840.0,81744.0
165,Alabama,   Retail trade ,280854.0,279556.0,288423.0
166,Alabama,    Motor vehicle and parts dealers ,37258.0,36485.0,37398.0
167,Alabama,    Furniture and home furnishings stores ,7735.0,7448.0,7617.0
168,Alabama,    Electronics and appliance stores ,6539.0,6034.0,5742.0
