,us_state,2019_income,2020_income,2021_income
19,Alabama,216587.5,232040.3,250828.8
34,Alaska,45056.8,45965.1,48219.2
49,Arizona,340259.8,375601.3,403739.3
64,Arkansas,133161.4,142038.5,153185.8
79,California,2567425.6,2790523.5,3006183.9
94,Colorado,356341.3,378051.4,410948.2
109,Connecticut,272459.4,282486.1,300323.5
124,Delaware,53202.5,55866.8,60133.6
139,District of Columbia,58203.2,61925.5,64644.7
154,Florida,1165093.1,1235793.4,1356318.6
169,Georgia,522393.0,557601.2,602464.0
184,Hawaii,79699.7,83109.5,87857.7
199,Idaho,83031.5,91448.5,99549.6
214,Illinois,750935.6,794459.5,852082.1
229,Indiana,329625.0,354337.7,384520.0
244,Iowa,160360.6,169994.2,182524.5
259,Kansas,155125.9,164333.6,172918.3
274,Kentucky,197356.0,214052.5,231179.8
289,Louisiana,222349.1,236324.2,250700.7
304,Maine,68863.0,74805.9,80254.4
319,Maryland,384074.3,405454.6,430429.3
334,Massachusetts,513710.4,550459.5,584291.1
349,Michigan,495268.6,537493.5,567807.1
364,Minnesota,332916.0,355211.2,378284.7
379,Mississippi,117112.8,126306.9,135347.4
394,Missouri,301030.7,320698.2,341254.0
409,Montana,54083.5,58769.6,62886.7
424,Nebraska,105922.2,112629.7,120188.5
439,Nevada,161433.6,172538.5,189308.2
454,New Hampshire,88822.8,94440.8,101674.5
469,New Jersey,633651.0,663544.1,713720.6
484,New Mexico,91853.6,99018.0,106451.2
499,New York,1362298.6,1442624.6,1524128.5
514,North Carolina,505470.2,542726.5,592695.0
529,North Dakota,44346.9,47410.7,50002.9
544,Ohio,589835.8,631330.7,670035.6
559,Oklahoma,191851.6,200152.9,214760.7
574,Oregon,222257.0,241790.3,261546.5
589,Pennsylvania,739891.8,788281.5,833314.5
604,Rhode Island,61107.2,65709.0,70531.5
619,South Carolina,237024.5,251946.2,272339.5
634,South Dakota,48797.0,53621.5,57717.8
649,Tennessee,338609.2,362278.1,394520.4
664,Texas,1560503.5,1624525.8,1767681.7
679,Utah,157045.2,171385.4,186990.5
694,Vermont,35584.5,38097.7,39949.4
709,Virginia,507874.1,536817.2,573027.9
724,Washington,490322.1,527581.8,570920.8
739,West Virginia,77329.9,80971.2,86451.8
754,Wisconsin,311019.0,329622.8,351551.3
769,Wyoming,36889.0,37974.0,40322.8
